CD_GCMUN;NM_MUN
1100015;ALTA FLORESTA D'OESTE
1100031;CABIXI
1100056;CEREJEIRAS
1100064;COLORADO DO OESTE
1100072;CORUMBIARA
1100080;COSTA MARQUES
1100106;GUAJARÁ-MIRIM
1100148;NOVA BRASILÂNDIA D'OESTE
1100189;PIMENTA BUENO
1100205;PORTO VELHO
1100288;ROLIM DE MOURA
1100296;SANTA LUZIA D'OESTE
1100304;VILHENA
1100320;SÃO MIGUEL DO GUAPORÉ
1100338;NOVA MAMORÉ
1100346;ALVORADA D'OESTE
1100379;ALTO ALEGRE DOS PARECIS
1100452;BURITIS
1100502;NOVO HORIZONTE DO OESTE
1100700;CAMPO NOVO DE RONDÔNIA
1100924;CHUPINGUAIA
1101005;GOVERNADOR JORGE TEIXEIRA
1101450;PARECIS
1101468;PIMENTEIRAS DO OESTE
1101476;PRIMAVERA DE RONDÔNIA
1101484;SÃO FELIPE D'OESTE
1101492;SÃO FRANCISCO DO GUAPORÉ
1101500;SERINGUEIRAS
1200013;ACRELÂNDIA
1200054;ASSIS BRASIL
1200104;BRASILÉIA
1200138;BUJARI
1200179;CAPIXABA
1200203;CRUZEIRO DO SUL
1200252;EPITACIOLÂNDIA
1200302;FEIJÓ
1200328;JORDÃO
1200336;MÂNCIO LIMA
1200344;MANOEL URBANO
1200351;MARECHAL THAUMATURGO
1200385;PLÁCIDO DE CASTRO
1200393;PORTO WALTER
1200401;RIO BRANCO
1200427;RODRIGUES ALVES
1200435;SANTA ROSA DO PURUS
1200450;SENADOR GUIOMARD
1200500;SENA MADUREIRA
1200609;TARAUACÁ
1200708;XAPURI
1200807;PORTO ACRE
1300060;AMATURÁ
1300201;ATALAIA DO NORTE
1300409;BARCELOS
1300607;BENJAMIN CONSTANT
1300706;BOCA DO ACRE
1300904;CANUTAMA
1301654;GUAJARÁ
1301803;IPIXUNA
1302108;JAPURÁ
1302306;JUTAÍ
1302405;LÁBREA
1303007;NHAMUNDÁ
1303601;SANTA ISABEL DO RIO NEGRO
1303700;SANTO ANTÔNIO DO IÇÁ
1303809;SÃO GABRIEL DA CACHOEIRA
1303908;SÃO PAULO DE OLIVENÇA
1304062;TABATINGA
1304237;TONANTINS
1304302;URUCARÁ
1400027;AMAJARI
1400050;ALTO ALEGRE
1400100;BOA VISTA
1400159;BONFIM
1400175;CANTÁ
1400209;CARACARAÍ
1400233;CAROEBE
1400282;IRACEMA
1400308;MUCAJAÍ
1400407;NORMANDIA
1400456;PACARAIMA
1400472;RORAINÓPOLIS
1400506;SÃO JOÃO DA BALIZA
1400605;SÃO LUIZ
1400704;UIRAMUTÃ
1500404;ALENQUER
1500503;ALMEIRIM
1503002;FARO
1505106;ÓBIDOS
1505304;ORIXIMINÁ
1600055;SERRA DO NAVIO
1600105;AMAPÁ
1600154;PEDRA BRANCA DO AMAPARI
1600204;CALÇOENE
1600238;FERREIRA GOMES
1600279;LARANJAL DO JARI
1600501;OIAPOQUE
1600550;PRACUÚBA
4100459;ALTAMIRA DO PARANÁ
4100509;ALTÔNIA
4100707;ALTO PIQUIRI
4101002;AMPÉRE
4101051;ANAHY
4102000;ASSIS CHATEAUBRIAND
4102604;BARRACÃO
4102752;BELA VISTA DA CAROBA
4103008;BOA ESPERANÇA
4103024;BOA ESPERANÇA DO IGUAÇU
4103057;BOA VISTA DA APARECIDA
4103156;BOM JESUS DO SUL
4103222;BOM SUCESSO DO SUL
4103354;BRAGANEY
4103370;BRASILÂNDIA DO SUL
4103453;CAFELÂNDIA
4103479;CAFEZAL DO SUL
4103909;CAMPINA DA LAGOA
4104055;CAMPO BONITO
4104428;CANDÓI
4104501;CAPANEMA
4104600;CAPITÃO LEÔNIDAS MARQUES
4104808;CASCAVEL
4105003;CATANDUVAS
4105300;CÉU AZUL
4105409;CHOPINZINHO
4105607;CIDADE GAÚCHA
4105706;CLEVELÂNDIA
4106308;CORBÉLIA
4106456;CORONEL DOMINGOS SOARES
4106506;CORONEL VIVIDA
4106571;CRUZEIRO DO IGUAÇU
4106605;CRUZEIRO DO OESTE
4107124;DIAMANTE DO SUL
4107157;DIAMANTE D'OESTE
4107207;DOIS VIZINHOS
4107256;DOURADINA
4107405;ENÉAS MARQUES
4107520;ESPERANÇA NOVA
4107538;ENTRE RIOS DO OESTE
4107546;ESPIGÃO ALTO DO IGUAÇU
4107850;FLOR DA SERRA DO SUL
4108205;FORMOSA DO OESTE
4108304;FOZ DO IGUAÇU
4108320;FRANCISCO ALVES
4108403;FRANCISCO BELTRÃO
4108601;GOIOERÊ
4108809;GUAÍRA
4109302;GUARANIAÇU
4109658;HONÓRIO SERPA
4109757;IBEMA
4109906;ICARAÍMA
4110052;IGUATU
4110607;IPORÃ
4110656;IRACEMA DO OESTE
4110953;ITAIPULÂNDIA
4111209;ITAPEJARA D'OESTE
4111555;IVATÉ
4112207;JANIÓPOLIS
4112751;JESUÍTAS
4112959;JURANDA
4113254;LARANJAL
4113304;LARANJEIRAS DO SUL
4113452;LINDOESTE
4114351;MANFRINÓPOLIS
4114401;MANGUEIRINHA
4114609;MARECHAL CÂNDIDO RONDON
4114708;MARIA HELENA
4115101;MARILUZ
4115309;MARIÓPOLIS
4115358;MARIPÁ
4115408;MARMELEIRO
4115606;MATELÂNDIA
4115804;MEDIANEIRA
4115853;MERCEDES
4116059;MISSAL
4116109;MOREIRA SALES
4116703;NOVA AURORA
4116950;NOVA ESPERANÇA DO SUDOESTE
4117057;NOVA LARANJEIRAS
4117206;NOVA OLÍMPIA
4117222;NOVA SANTA ROSA
4117255;NOVA PRATA DO IGUAÇU
4117453;OURO VERDE DO OESTE
4117602;PALMAS
4117909;PALOTINA
4118451;PATO BRAGADO
4118501;PATO BRANCO
4118857;PEROBAL
4118907;PÉROLA
4119004;PÉROLA D'OESTE
4119251;PINHAL DE SÃO BENTO
4119806;PLANALTO
4120150;PORTO BARREIRO
4120358;PRANCHITA
4120655;QUARTO CENTENÁRIO
4120853;QUATRO PONTES
4120903;QUEDAS DO IGUAÇU
4121000;QUERÊNCIA DO NORTE
4121257;RAMILÂNDIA
4121356;RANCHO ALEGRE D'OESTE
4121406;REALEZA
4121604;RENASCENÇA
4122156;RIO BONITO DO IGUAÇU
4122602;RONDON
4122800;SALGADO FILHO
4123006;SALTO DO LONTRA
4123303;SANTA CRUZ DE MONTE CASTELO
4123501;SANTA HELENA
4123709;SANTA ISABEL DO IVAÍ
4123808;SANTA IZABEL DO OESTE
4123824;SANTA LÚCIA
4123956;SANTA MÔNICA
4124020;SANTA TEREZA DO OESTE
4124053;SANTA TEREZINHA DE ITAIPU
4124400;SANTO ANTÔNIO DO SUDOESTE
4124806;SÃO JOÃO
4125209;SÃO JORGE D'OESTE
4125357;SÃO JORGE DO PATROCÍNIO
4125456;SÃO JOSÉ DAS PALMEIRAS
4125704;SÃO MIGUEL DO IGUAÇU
4125753;SÃO PEDRO DO IGUAÇU
4126272;SAUDADE DO IGUAÇU
4126355;SERRANÓPOLIS DO IGUAÇU
4126652;SULINA
4126801;TAPEJARA
4126900;TAPIRA
4127403;TERRA ROXA
4127700;TOLEDO
4127858;TRÊS BARRAS DO PARANÁ
4127908;TUNEIRAS DO OESTE
4127957;TUPÃSSI
4128005;UBIRATÃ
4128104;UMUARAMA
4128559;VERA CRUZ DO OESTE
4128609;VERÊ
4128625;ALTO PARAÍSO
4128708;VITORINO
4128807;XAMBRÊ
4200101;ABELARDO LUZ
4200507;ÁGUAS DE CHAPECÓ
4200556;ÁGUAS FRIAS
4200804;ANCHIETA
4201273;ARABUTÃ
4201653;ARVOREDO
4202081;BANDEIRANTE
4202099;BARRA BONITA
4202156;BELMONTE
4202537;BOM JESUS
4202578;BOM JESUS DO OESTE
4203105;CAIBI
4203501;CAMPO ERÊ
4204103;CAXAMBU DO SUL
4204202;CHAPECÓ
4204301;CONCÓRDIA
4204350;CORDILHEIRA ALTA
4204400;CORONEL FREITAS
4204459;CORONEL MARTINS
4204707;CUNHA PORÃ
4204756;CUNHATAÍ
4204905;DESCANSO
4205001;DIONÍSIO CERQUEIRA
4205175;ENTRE RIOS
4205308;FAXINAL DOS GUEDES
4205357;FLOR DO SERTÃO
4205431;FORMOSA DO SUL
4205605;GALVÃO
4206405;GUARACIABA
4206603;GUARUJÁ DO SUL
4206652;GUATAMBÚ
4207650;IPORÃ DO OESTE
4207684;IPUAÇU
4207700;IPUMIRIM
4207759;IRACEMINHA
4207858;IRATI
4208005;ITÁ
4208401;ITAPIRANGA
