UF;COD. UF;COD. MUNIC;COD. COMPLETO;NOME DO MUNICÍPIO;2015;2016;2017;2018;2019;CAGR;;
RO;11;00015;1100015;Alta Floresta D'Oeste;25.578;25.506;25.437;23.167;22.945;-2,15%;;
RO;11;00023;1100023;Ariquemes;104.401;105.896;107.345;106.168;107.863;0,65%;;
RO;11;00031;1100031;Cabixi;6.355;6.289;6.224;5.438;5.312;-3,52%;;
RO;11;00049;1100049;Cacoal;87.226;87.877;88.507;84.813;85.359;-0,43%;;
RO;11;00056;1100056;Cerejeiras;17.986;17.959;17.934;16.444;16.323;-1,92%;;
RO;11;00064;1100064;Colorado do Oeste;18.817;18.639;18.467;16.227;15.882;-3,33%;;
RO;11;00072;1100072;Corumbiara;8.842;8.749;8.659;7.567;7.391;-3,52%;;
RO;11;00080;1100080;Costa Marques;16.651;17.031;17.400;17.855;18.331;1,94%;;
RO;11;00098;1100098;Espigão D'Oeste;32.385;32.712;33.030;32.047;32.374;-0,01%;;
RO;11;00106;1100106;Guajará-Mirim;46.632;47.048;47.451;45.783;46.174;-0,20%;;
RO;11;00114;1100114;Jaru;55.738;55.806;55.871;51.933;51.775;-1,46%;;
RO;11;00122;1100122;Ji-Paraná;130.419;131.560;132.667;127.907;128.969;-0,22%;;
RO;11;00130;1100130;Machadinho D'Oeste;37.167;37.899;38.609;39.097;39.991;1,48%;;
RO;11;00148;1100148;Nova Brasilândia D'Oeste;21.592;21.670;21.747;20.459;20.474;-1,06%;;
RO;11;00155;1100155;Ouro Preto do Oeste;39.924;39.840;39.759;36.340;36.035;-2,03%;;
RO;11;00189;1100189;Pimenta Bueno;37.512;37.786;38.051;36.434;36.660;-0,46%;;
RO;11;00205;1100205;Porto Velho;502.748;511.219;519.436;519.531;529.544;1,04%;;
RO;11;00254;1100254;Presidente Médici;22.557;22.337;22.124;19.409;18.986;-3,39%;;
RO;11;00262;1100262;Rio Crespo;3.750;3.790;3.829;3.723;3.764;0,07%;;
RO;11;00288;1100288;Rolim de Moura;56.242;56.664;57.074;54.702;55.058;-0,42%;;
RO;11;00296;1100296;Santa Luzia D'Oeste;8.532;8.362;8.198;6.781;6.495;-5,31%;;
RO;11;00304;1100304;Vilhena;91.801;93.745;95.630;97.448;99.854;1,70%;;
RO;11;00320;1100320;São Miguel do Guaporé;23.933;24.059;24.181;22.931;23.005;-0,79%;;
RO;11;00338;1100338;Nova Mamoré;27.600;28.255;28.891;29.757;30.583;2,07%;;
RO;11;00346;1100346;Alvorada D'Oeste;17.063;16.902;16.747;14.722;14.411;-3,32%;;
RO;11;00379;1100379;Alto Alegre dos Parecis;13.940;13.993;14.045;13.227;13.241;-1,02%;;
RO;11;00403;1100403;Alto Paraíso;20.210;20.569;20.916;20.999;21.428;1,18%;;
RO;11;00452;1100452;Buritis;37.838;38.450;39.044;38.937;39.654;0,94%;;
RO;11;00502;1100502;Novo Horizonte do Oeste;10.276;10.161;10.051;8.751;8.538;-3,64%;;
RO;11;00601;1100601;Cacaulândia;6.367;6.414;6.460;6.190;6.230;-0,43%;;
RO;11;00700;1100700;Campo Novo de Rondônia;14.220;14.354;14.484;14.009;14.139;-0,11%;;
RO;11;00809;1100809;Candeias do Jamari;24.155;24.719;25.266;25.983;26.693;2,02%;;
RO;11;00908;1100908;Castanheiras;3.617;3.583;3.550;3.119;3.052;-3,34%;;
RO;11;00924;1100924;Chupinguaia;10.129;10.364;10.593;10.886;11.182;2,00%;;
RO;11;00940;1100940;Cujubim;20.974;21.720;22.443;24.226;25.215;3,75%;;
RO;11;01005;1101005;Governador Jorge Teixeira;10.127;9.933;9.745;8.095;7.767;-5,17%;;
RO;11;01104;1101104;Itapuã do Oeste;9.995;10.155;10.310;10.272;10.458;0,91%;;
RO;11;01203;1101203;Ministro Andreazza;10.823;10.786;10.751;9.762;9.660;-2,25%;;
RO;11;01302;1101302;Mirante da Serra;12.360;12.308;12.258;11.080;10.947;-2,40%;;
RO;11;01401;1101401;Monte Negro;15.873;16.032;16.186;15.695;15.852;-0,03%;;
RO;11;01435;1101435;Nova União;7.824;7.796;7.769;7.047;6.970;-2,29%;;
RO;11;01450;1101450;Parecis;5.697;5.802;5.904;5.947;6.074;1,29%;;
RO;11;01468;1101468;Pimenteiras do Oeste;2.424;2.417;2.410;2.191;2.169;-2,20%;;
RO;11;01476;1101476;Primavera de Rondônia;3.501;3.456;3.411;2.939;2.856;-3,99%;;
RO;11;01484;1101484;São Felipe D'Oeste;6.103;6.048;5.994;5.280;5.172;-3,26%;;
RO;11;01492;1101492;São Francisco do Guaporé;19.002;19.353;19.694;19.842;20.266;1,30%;;
RO;11;01500;1101500;Seringueiras;12.581;12.617;12.653;11.860;11.856;-1,18%;;
RO;11;01559;1101559;Teixeirópolis;5.003;4.966;4.931;4.384;4.308;-2,95%;;
