IbgeCityKey;IbgeCityHash
1100205;ro_porto_velho
1200401;ac_rio_branco
1302603;am_manaus
1400100;rr_boa_vista
1501402;pa_belem
1600303;ap_macapa
1721000;to_palmas
2111300;ma_sao_luis
2211001;pi_teresina
2304400;ce_fortaleza
2408102;rn_natal
2507507;pb_joao_pessoa
2611606;pe_recife
2704302;al_maceio
2800308;se_aracaju
2927408;ba_salvador
3106200;mg_belo_horizonte
3205309;es_vitoria
3304557;rj_rio_de_janeiro
3550308;sp_sao_paulo
4106902;pr_curitiba
4205407;sc_florianopolis
4314902;rs_porto_alegre
5002704;ms_campo_grande
5103403;mt_cuiaba
5208707;go_goiania
5300108;df_brasilia
