IbgeCityKey,IbgeCityHash,Population,Coordinates
1100015,ro_alta_floresta_doeste,22945,"(-11.929419000000001, -62.01297950000001)"
1100023,ro_ariquemes,107863,"(-9.9135874, -63.0526808)"
1100031,ro_cabixi,5312,"(-13.4945, -60.552)"
1100049,ro_cacoal,85359,"(-11.438460000000001, -61.4472199)"
1100056,ro_cerejeiras,16323,"(-13.187000000000001, -60.8168)"
1100064,ro_colorado_do_oeste,15882,"(-13.133965599999998, -60.543051500000004)"
1100072,ro_corumbiara,7391,"(-12.998512, -60.9505372)"
1100080,ro_costa_marques,18331,"(-12.4367, -64.22800000000001)"
1100098,ro_espigao_doeste,32374,"(-11.5305098, -61.0155129)"
1100106,ro_guajara_mirim,46174,"(-10.7889028, -65.3460303)"
1100114,ro_jaru,51775,"(-10.435387599999999, -62.4755824)"
1100122,ro_ji_parana,128969,"(-10.8808168, -61.919071100000004)"
1100130,ro_machadinho_doeste,39991,"(-9.44363, -61.9818)"
1100148,ro_nova_brasilandia_doeste,20474,"(-11.725997, -62.331054200000004)"
1100155,ro_ouro_preto_do_oeste,36035,"(-10.7167, -62.2565)"
1100189,ro_pimenta_bueno,36660,"(-11.67873525, -61.18765505)"
1100205,ro_porto_velho,529544,"(-8.7621256, -63.88762815)"
1100254,ro_presidente_medici,18986,"(-11.1697287, -61.901378)"
1100262,ro_rio_crespo,3764,"(-9.69965, -62.9011)"
1100288,ro_rolim_de_moura,55058,"(-11.72798825, -61.77857895)"
1100296,ro_santa_luzia_doeste,6495,"(-11.9064356, -61.775258799999996)"
1100304,ro_vilhena,99854,"(-12.74231, -60.13007929999999)"
1100320,ro_sao_miguel_do_guapore,23005,"(-11.698857400000001, -62.717262899999994)"
1100338,ro_nova_mamore,30583,"(-10.4077, -65.3346)"
1100346,ro_alvorada_doeste,14411,"(-11.3463, -62.2847)"
1100379,ro_alto_alegre_dos_parecis,13241,"(-12.132, -61.835)"
1100403,ro_alto_paraiso,21428,"(-9.71429, -63.3188)"
1100452,ro_buritis,39654,"(-10.1943, -63.8324)"
1100502,ro_novo_horizonte_do_oeste,8538,"(-11.6961, -61.9951)"
1100601,ro_cacaulandia,6230,"(-10.349, -62.9043)"
1100700,ro_campo_novo_de_rondonia,14139,"(-10.5712, -63.6266)"
1100809,ro_candeias_do_jamari,26693,"(-8.7907, -63.7005)"
1100908,ro_castanheiras,3052,"(-11.4253, -61.9482)"
1100924,ro_chupinguaia,11182,"(-12.560426, -60.9080694)"
1100940,ro_cujubim,25215,"(-9.36065, -62.5846)"
1101005,ro_governador_jorge_teixeira,7767,"(-10.61, -62.7371)"
1101104,ro_itapua_do_oeste,10458,"(-9.19687, -63.1809)"
1101203,ro_ministro_andreazza,9660,"(-11.196, -61.5174)"
1101302,ro_mirante_da_serra,10947,"(-11.029000000000002, -62.6696)"
1101401,ro_monte_negro,15852,"(-10.2458, -63.29)"
1101435,ro_nova_uniao,6970,"(-10.9068, -62.5564)"
1101450,ro_parecis,6074,"(-12.1754, -61.6032)"
1101468,ro_pimenteiras_do_oeste,2169,"(-13.4823, -61.0471)"
1101476,ro_primavera_de_rondonia,2856,"(-11.8295, -61.3153)"
1101484,ro_sao_felipe_doeste,5172,"(-11.9023, -61.5026)"
1101492,ro_sao_francisco_do_guapore,20266,"(-12.052, -63.568000000000005)"
1101500,ro_seringueiras,11856,"(-11.8055, -63.0182)"
1101559,ro_teixeiropolis,4308,"(-10.9056, -62.242)"
1101609,ro_theobroma,10444,"(-10.2483, -62.3538)"
1101708,ro_urupa,11467,"(-11.1261, -62.3639)"
1101757,ro_vale_do_anari,11204,"(-9.86215, -62.1876)"
1101807,ro_vale_do_paraiso,6825,"(-10.4465, -62.1352)"
1200013,ac_acrelandia,15256,"(-10.0718786, -67.05325160000001)"
1200054,ac_assis_brasil,7417,"(-10.9298, -69.5738)"
1200104,ac_brasileia,26278,"(-10.995, -68.7497)"
1200138,ac_bujari,10266,"(-9.81528, -67.955)"
1200179,ac_capixaba,11733,"(-10.565999999999999, -67.686)"
1200203,ac_cruzeiro_do_sul,88376,"(-7.6339440000000005, -72.6670802)"
1200252,ac_epitaciolandia,18411,"(-11.0188, -68.7341)"
1200302,ac_feijo,34780,"(-8.16414, -70.35613725)"
1200328,ac_jordao,8317,"(-9.43091, -71.8974)"
1200336,ac_mancio_lima,18977,"(-7.616569999999999, -72.8997)"
1200344,ac_manoel_urbano,9459,"(-8.83291, -69.2679)"
1200351,ac_marechal_thaumaturgo,18867,"(-8.93898, -72.7997)"
1200385,ac_placido_de_castro,19761,"(-10.2806, -67.1371)"
1200393,ac_porto_walter,11982,"(-8.26323, -72.7537)"
1200401,ac_rio_branco,407319,"(-9.9683446, -67.81859109999999)"
1200427,ac_rodrigues_alves,18930,"(-7.738639999999999, -72.661)"
1200435,ac_santa_rosa_do_purus,6540,"(-9.44652, -70.4902)"
1200450,ac_senador_guiomard,23024,"(-10.15564905, -67.73697895)"
1200500,ac_sena_madureira,45848,"(-9.0634834, -68.6600482)"
1200609,ac_tarauaca,42567,"(-8.165212299999999, -70.765215)"
1200708,ac_xapuri,19323,"(-10.6516, -68.4969)"
1200807,ac_porto_acre,18504,"(-9.581380000000001, -67.5478)"
1300029,am_alvaraes,16041,"(-3.22727, -64.8007)"
1300060,am_amatura,11536,"(-3.37455, -68.2005)"
1300086,am_anama,13614,"(-3.5669699999999995, -61.3963)"
1300102,am_anori,21010,"(-3.74603, -61.6575)"
1300144,am_apui,21973,"(-7.194089999999999, -59.896)"
1300201,am_atalaia_do_norte,19921,"(-4.37055, -70.1967)"
1300300,am_autazes,39565,"(-3.58574, -59.1256)"
1300409,am_barcelos,27502,"(-0.9833729999999999, -62.9311)"
1300508,am_barreirinha,32041,"(-2.79886, -57.0679)"
1300607,am_benjamin_constant,42984,"(-4.377680000000001, -70.0342)"
1300631,am_beruri,19679,"(-3.89874, -61.3616)"
1300680,am_boa_vista_do_ramos,19207,"(-2.9740900000000003, -57.5873)"
1300706,am_boca_do_acre,34308,"(-8.74232, -67.3919)"
1300805,am_borba,41161,"(-4.39154, -59.5874)"
1300839,am_caapiranga,13081,"(-3.3153699999999997, -61.2206)"
1300904,am_canutama,15629,"(-6.5258199999999995, -64.3953)"
1301001,am_carauari,28294,"(-4.88161, -66.9086)"
1301100,am_careiro,37869,"(-3.7680300000000004, -60.369)"
1301159,am_careiro_da_varzea,30225,"(-3.3139999999999996, -59.5557)"
1301209,am_coari,85097,"(-4.094119999999999, -63.1441)"
1301308,am_codajas,28637,"(-3.8305300000000004, -62.0658)"
1301407,am_eirunepe,35273,"(-6.65677, -69.8662)"
1301506,am_envira,20033,"(-7.4378899999999994, -70.0281)"
1301605,am_fonte_boa,17609,"(-2.52342, -66.0942)"
1301654,am_guajara,16678,"(-7.53797, -72.5907)"
1301704,am_humaita,55080,"(-7.5226026, -63.031459)"
1301803,am_ipixuna,29689,"(-7.047910000000001, -71.6934)"
1301852,am_iranduba,48296,"(-3.2747900000000003, -60.19)"
1301902,am_itacoatiara,101337,"(-3.1397715, -58.43121310000001)"
1301951,am_itamarati,7851,"(-6.43852, -68.2437)"
1302009,am_itapiranga,9148,"(-2.7408099999999997, -58.0293)"
1302108,am_japura,2755,"(-1.88237, -66.9291)"
1302207,am_jurua,14712,"(-3.4843800000000003, -66.0718)"
1302306,am_jutai,14317,"(-2.75814, -66.7595)"
1302405,am_labrea,46069,"(-7.264130000000001, -64.7948)"
1302504,am_manacapuru,97377,"(-3.2988248, -60.619342)"
1302553,am_manaquiri,32105,"(-3.44078, -60.4612)"
1302603,am_manaus,2182763,"(-3.1004651, -60.02109685)"
1302702,am_manicore,55751,"(-5.80462, -61.2895)"
1302801,am_maraa,18224,"(-1.85313, -65.57300000000001)"
1302900,am_maues,63905,"(-3.3935953999999997, -57.720308499999994)"
1303007,am_nhamunda,21173,"(-2.2079299999999997, -56.7112)"
1303106,am_nova_olinda_do_norte,37378,"(-3.9003699999999997, -59.093999999999994)"
1303205,am_novo_airao,19454,"(-2.6400419999999998, -60.94330970000001)"
1303304,am_novo_aripuana,25644,"(-5.12593, -60.3732)"
1303403,am_parintins,114273,"(-2.63872425, -56.73636925)"
1303502,am_pauini,19426,"(-7.71311, -66.992)"
1303536,am_presidente_figueiredo,36279,"(-2.02981, -60.0234)"
1303569,am_rio_preto_da_eva,33347,"(-2.7045, -59.6858)"
1303601,am_santa_isabel_do_rio_negro,25156,"(-0.41082399999999997, -65.0092)"
1303700,am_santo_antonio_do_ica,21602,"(-3.09544, -67.9463)"
1303809,am_sao_gabriel_da_cachoeira,45564,"(-0.11909000000000002, -67.084)"
1303908,am_sao_paulo_de_olivenca,39299,"(-3.47292, -68.9646)"
1303957,am_sao_sebastiao_do_uatuma,14020,"(-2.55915, -57.8731)"
1304005,am_silves,9171,"(-2.8174799999999998, -58.248000000000005)"
1304062,am_tabatinga,65844,"(-4.2416, -69.9383)"
1304104,am_tapaua,17156,"(-5.62085, -63.1808)"
1304203,am_tefe,59849,"(-3.3682199999999995, -64.7193)"
1304237,am_tonantins,18755,"(-2.8658200000000003, -67.7919)"
1304260,am_uarini,13540,"(-2.99609, -65.1133)"
1304302,am_urucara,16256,"(-2.52936, -57.7538)"
1304401,am_urucurituba,23065,"(-3.1284099999999997, -58.1496)"
1400027,rr_amajari,12796,"(3.64571, -61.3692)"
1400050,rr_alto_alegre,15510,"(2.98858, -61.3072)"
1400100,rr_boa_vista,399213,"(2.82397175, -60.677968799999995)"
1400159,rr_bonfim,12409,"(3.3591580000000003, -59.8336085)"
1400175,rr_canta,18335,"(2.60994, -60.6058)"
1400209,rr_caracarai,21926,"(1.8226715, -61.12846215)"
1400233,rr_caroebe,10169,"(0.8842030000000001, -59.6959)"
1400282,rr_iracema,11950,"(2.18305, -61.0415)"
1400308,rr_mucajai,17853,"(2.4470081, -60.9149449)"
1400407,rr_normandia,11290,"(3.8853, -59.6204)"
1400456,rr_pacaraima,17401,"(4.4784277, -61.1459069)"
1400472,rr_rorainopolis,30163,"(0.94525275, -60.43680615)"
1400506,rr_sao_joao_da_baliza,8201,"(0.9488380999999999, -59.9110301)"
1400605,rr_sao_luiz,7986,"(1.01019, -60.0419)"
1400704,rr_uiramuta,10559,"(4.547475700000001, -60.3964505)"
1500107,pa_abaetetuba,157698,"(-1.7240947, -48.883789799999995)"
1500131,pa_abel_figueiredo,7434,"(-4.95333, -48.3933)"
1500206,pa_acara,55591,"(-1.95383, -48.1985)"
1500305,pa_afua,39218,"(-0.154874, -50.3861)"
1500347,pa_agua_azul_do_norte,27430,"(-6.79053, -50.4791)"
1500404,pa_alenquer,56789,"(-1.94623, -54.7384)"
1500503,pa_almeirim,34109,"(-1.52904, -52.5788)"
1500602,pa_altamira,114594,"(-3.2092351000000003, -52.2163326)"
1500701,pa_anajas,29277,"(-0.9968110000000001, -49.9354)"
1500800,pa_ananindeua,530598,"(-1.364493, -48.4063093)"
1500859,pa_anapu,27890,"(-3.46985, -51.2003)"
1500909,pa_augusto_correa,45998,"(-1.0510899999999999, -46.6147)"
1500958,pa_aurora_do_para,31338,"(-2.14898, -47.5677)"
1501006,pa_aveiro,16388,"(-3.6084099999999997, -55.3199)"
1501105,pa_bagre,30673,"(-1.90057, -50.1987)"
1501204,pa_baiao,47446,"(-2.7902099999999996, -49.6694)"
1501253,pa_bannach,3286,"(-7.34779, -50.3959)"
1501303,pa_barcarena,124680,"(-1.51862615, -48.687999)"
1501402,pa_belem,1492745,"(-1.44310315, -48.47892585)"
1501451,pa_belterra,17732,"(-2.6360900000000003, -54.9374)"
1501501,pa_benevides,62737,"(-1.3637209, -48.2437951)"
1501576,pa_bom_jesus_do_tocantins,16981,"(-5.0463623, -48.6025792)"
1501600,pa_bonito,16286,"(-1.36745, -47.3066)"
1501709,pa_braganca,127686,"(-1.06126, -46.7826)"
1501725,pa_brasil_novo,15086,"(-3.2979199999999995, -52.534)"
1501758,pa_brejo_grande_do_araguaia,7380,"(-5.6970644, -48.3940817)"
1501782,pa_breu_branco,66046,"(-3.7796739, -49.506121)"
1501808,pa_breves,102701,"(-1.6803599999999999, -50.4791)"
1501907,pa_bujaru,29132,"(-1.51762, -48.0381)"
1501956,pa_cachoeira_do_piria,33900,"(-1.75974, -46.5459)"
1502004,pa_cachoeira_do_arari,23767,"(-1.01226, -48.9503)"
1502103,pa_cameta,137890,"(-2.2443506, -49.49551470000001)"
1502152,pa_canaa_dos_carajas,37085,"(-6.535216, -49.855205)"
1502202,pa_capanema,69027,"(-1.20529, -47.1778)"
1502301,pa_capitao_poco,54303,"(-1.7408082999999999, -47.064775700000006)"
1502400,pa_castanhal,200793,"(-1.2937447, -47.92529835)"
1502509,pa_chaves,23717,"(-0.164154, -49.986999999999995)"
1502608,pa_colares,12085,"(-0.936423, -48.2803)"
1502707,pa_conceicao_do_araguaia,47864,"(-8.26136, -49.2689)"
1502756,pa_concordia_do_para,33318,"(-1.9947519, -47.9455059)"
1502764,pa_cumaru_do_norte,13473,"(-7.810969999999999, -50.7698)"
1502772,pa_curionopolis,17929,"(-6.09965, -49.6068)"
1502806,pa_curralinho,34448,"(-1.8117900000000002, -49.7952)"
1502855,pa_curua,14393,"(-1.88775, -55.1168)"
1502905,pa_curuca,40066,"(-0.733214, -47.8515)"
1502939,pa_dom_eliseu,59719,"(-4.2950116, -47.55623355)"
3105509,mg_barao_de_monte_alto,5397,"(-21.252289899999997, -42.3135531)"
1503002,pa_faro,7194,"(-2.16805, -56.7405)"
1503044,pa_floresta_do_araguaia,20304,"(-7.55335, -49.7125)"
1503077,pa_garrafao_do_norte,26066,"(-1.92986, -47.0505)"
1503093,pa_goianesia_do_para,40475,"(-3.8400068999999997, -49.1011376)"
1503101,pa_gurupa,33376,"(-1.41412, -51.6338)"
1503200,pa_igarape_acu,38807,"(-1.12539, -47.626000000000005)"
1503309,pa_igarape_miri,62698,"(-1.9704342000000001, -48.9567994)"
1503408,pa_inhangapi,11711,"(-1.4349, -47.9114)"
1503457,pa_ipixuna_do_para,64053,"(-2.55992, -47.5059)"
1503507,pa_irituia,32550,"(-1.76984, -47.446000000000005)"
1503606,pa_itaituba,101247,"(-4.27831085, -55.98932515)"
1503705,pa_itupiranga,53269,"(-5.13272, -49.3358)"
1503754,pa_jacareacanga,8239,"(-6.21469, -57.7544)"
1503804,pa_jacunda,59155,"(-4.44677905, -49.11455325)"
1503903,pa_juruti,57943,"(-2.1634700000000002, -56.0889)"
1504000,pa_limoeiro_do_ajuru,28935,"(-1.8985, -49.3903)"
1504059,pa_mae_do_rio,30077,"(-2.03045705, -47.5229979)"
1504109,pa_magalhaes_barata,8548,"(-0.803391, -47.6014)"
1504208,pa_maraba,279349,"(-5.3532513, -49.120574)"
1504307,pa_maracana,29473,"(-0.778899, -47.452)"
