MACRO;UF;REGIAO_TURISTICA;MUNICIPIO;COD_IBGE;QUANTIDADE_EMPREGOS;QUANTIDADE_ESTABELECIMENTOS;QUANTIDADE_VISITAS_ESTIMADAS_INTERNACIONAL;QUANTIDADE_VISITAS_ESTIMADAS_NACIONAL;ARRECADACAO;CLUSTER
Centro-Oeste;MT;Região Turística Portal do Agronegócio;Nova Mutum;5106224;89;14;0;15.309;R$708.887,00;C
Nordeste;MA;Polo Lagos e Campos Floridos;Cajapió;2102408;0;0;0;1.376; R$ -   ;D
Sudeste;MG;Caminhos da Mantiqueira;Brazópolis;3108909;6;3;0;25.587; R$ -   ;D
Sudeste;MG;Ouro;Caeté;3110004;310;11;0;23.757;R$4.944.942,00;B
Sudeste;MG;Pedras Preciosas;Catuji;3115458;0;0;149;0; R$ -   ;D
Sudeste;MG;Trilhas do Rio Doce;Dores de Guanhães;3123106;5;1;0;0; R$ -   ;D
Sudeste;MG;Trilhas do Rio Doce;José Raydan;3136553;0;0;0;4.335; R$ -   ;D
Sudeste;SP;Região Turística Histórias e Vales;Pirassununga;3539301;62;7;292;41.691;R$746.300,00;C
Sudeste;SP;Entre Rios, Serras  e Cafés.;São João da Boa Vista;3549102;62;10;691;48.602;R$673.370,00;C
Sudeste;SP;Circuito das Frutas;Valinhos;3556206;75;6;2.998;8.223;R$2.572.583,00;C
Sudeste;SP;ABC Tur - Rota da Natureza e da Indústria;Ribeirão Pires;3543303;34;1;398;52.008; R$ -   ;C
Norte;TO;Vale dos Grandes Rios;Palmeiras do Tocantins;1713809;0;0;0;14.505; R$ -   ;D
Nordeste;PE;HISTÓRIA E MAR;Recife;2611606;2.695;117;124.979;3.715.522;R$36.669.581,00;A
Nordeste;AL;Costa dos Corais;Maragogi;2704500;1.276;36;19.347;297.357;R$24.773.850,00;A
Nordeste;SE;Polo Costa dos Coqueirais;Aracaju;2800308;1.888;100;16.161;1.112.959;R$14.947.276,00;A
Nordeste;BA;Costa do Dendê;Cairu;2905404;981;123;93.253;125.021;R$9.104.867,00;A
Nordeste;BA;Costa dos Coqueiros;Mata de São João;2921005;6.171;58;80.017;228.922;R$103.063.849,00;A
Nordeste;BA;Costa do Descobrimento;Porto Seguro;2925303;5.046;318;64.066;1.192.038;R$66.832.312,00;A
